Start Date,End Date,Type,Title
1/9/2017,1/9/2017,SE,1: First House Meeting
20/9/2017,20/9/2017,SE,20: Apple Race
22/9/2017,22/9/2017,SE,22: Inter-House Swimming Finals
26/9/2017,26/9/2017,SE,26: G10 Leadership Training Camp
30/9/2017,30/9/2017,SE,30: PTA AGM
1/10/2017,1/10/2017,SE,1: National Day
2/10/2017,2/10/2017,SE,2: Day following National Day
5/10/2017,5/10/2017,PH,5: Day following Chinese Mid-Autumn Festival
6/10/2017,6/10/2017,SE,6: Blood Donation
14/10/2017,14/10/2017,SE,14: PTA Inauguration Day
17/10/2017,17/10/2017,SE,17: Second House Meeting
18/10/2017,18/10/2017,SE,18: Inter-School Swimming Competitions (Heats)
21/10/2017,21/10/2017,SE,21: G7 Admission Talks
27/10/2017,27/10/2017,SE,27: Inter-School Swimming Competition (Finals)
28/10/2017,28/10/2017,PH,28: Chung Yeung Festival
6/11/2017,6/11/2017,SE,6: Inter-School Cross Country Competition
12/11/2017,12/11/2017,SE,12: Garden Fete
13/11/2017,13/11/2017,SH,13: Day following Garden Fete
21/11/2017,21/11/2017,SE,21: Inter-House Athletics Competitions
22/11/2017,22/11/2017,SE,22: Staff Development Day
23/11/2017,1/12/2017,SE,23: IB G11 Mid-year Exam 
23/11/2017,5/12/2017,SE,23: IB G10 Mid-year Exam
2/12/2017,9/12/2017,SE,2: IB G11 CAS Trip
4/12/2017,19/12/2017,SE,4: G7-G11 Mid-year Exam
20/12/2017,20/12/2017,SE,20: Christmas Service
21/12/2017,3/1/2018,SH,21: Christmas and New Year Holiday
24/12/2017,24/12/2017,PH,24: Christmas Eve
25/12/2017,25/12/2017,PH,25: Christmas Day
26/12/2017,26/12/2017,PH,26: First weekday after Christmas Day
1/1/2018,1/1/2018,PH,1: First Day of January
4/1/2018,4/1/2018,SE,"4: Return of marked scripts (G7-G11) (4,5&8)"
12/1/2018,12/1/2018,SE,12: Checking of result slips (G7-11)
13/1/2018,13/1/2018,SE,13: Mentoring Scheme (Tea Reception)
20/1/2018,20/1/2018,SE,20: Parents' Day (Distribution of report cards G7-G11)
27/1/2018,12/2/2018,SE,27: G12 Mock Exam
9/2/2018,9/2/2018,SE,9: Speech Day
13/2/2018,13/2/2018,SH,13: Speech Day Holiday
14/2/2018,24/2/2018,SH,14: Lunar New Year Holiday
16/2/2018,16/2/2018,PH,16: Lunar New Year's Day
17/2/2018,17/2/2018,PH,17: Second Day of Lunar New Year
19/2/2018,19/2/2018,PH,19: Fourth day of Lunar New Year
26/2/2018,28/2/2018,SE,26: Return of marked scripts (G12) (26-28)
26/2/2018,28/3/2018,SE,26: Music Festival
28/2/2018,28/2/2018,SE,28: Inter-School Athletics Competition (Day 1)
1/3/2018,17/3/2018,SE,1: IB G12 Mock Exam
6/3/2018,6/3/2018,SE,6: Inter-School Athletics Competition (Day 2)
7/3/2018,7/3/2018,SE,7: Checking of result slips (G12)
9/3/2018,9/3/2018,SE,9: Inter-School Athletics Competition (Day 3)
13/3/2018,13/3/2018,SE,13: Distribution of Report Cards (G12)
13/3/2018,13/3/2018,SE,13: G12 Graduation Service
27/3/2018,27/3/2018,SE,27: Easter Service
28/3/2018,7/4/2018,SH,28: Easter Holiday 
30/3/2018,30/3/2018,PH,30: Good Friday
31/3/2018,31/3/2018,PH,31: The day following Good Friday
2/4/2018,2/4/2018,PH,2: Easter Monday
5/4/2018,5/4/2018,PH,5: Ching Ming Festival
16/4/2018,16/4/2018,SE,16: IB G12 Study Leave
30/4/2018,17/5/2018,SE,30: IB G12 Exam
1/5/2018,1/5/2018,PH,1: Labour Day
22/5/2018,22/5/2018,PH,22: The Birthday of the Buddha
4/6/2018,4/6/2018,SE,4: Staff Development Day
5/6/2018,14/6/2018,SE,5: IB G10 & G11 Final Exam
5/6/2018,23/6/2018,SE,5: G7-G11 Final Exam
18/6/2018,18/6/2018,PH,18: Tuen Ng Festival
25/6/2018,27/6/2018,SE,25: Return of marked scripts
1/7/2018,1/7/2018,PH,1: HKSAR Establishment Day
2/7/2018,2/7/2018,PH,2: The day following HKSAR Establishment Day
4/7/2018,4/7/2018,SE,4: Checking of result slips
9/7/2018,9/7/2018,SE,9: Distribution of Report Cards (copy)
10/7/2018,10/7/2018,SE,9:  Annual Ranking to G9 for G10 Streaming
11/7/2018,11/7/2018,SE,11: Release of 2018 HKDSE Examination Results
12/7/2018,12/7/2018,SE,12: Distribution of Report Cards
12/7/2018,12/7/2018,SE,12: IB G10 & G11 Parents' Day
13/7/2018,13/7/2018,SE,13: End of Year Service
16/7/2018,31/8/2018,SH,16: Summer Holidays
21/8/2018,21/8/2018,SE,21: IB New Students Induction Day
23/8/2018,23/8/2018,SE,23: Staff Development Day
25/8/2018,25/8/2018,SE,25: G7 Orientation Day
