Start Date,End Date,Type,Title,Venue,Nature,Description,Skip School Day,Group ID,Skip Saturday,Skip Sunday
1/9/2017,1/9/2017,SE,1: First House Meeting,,,,N,,N,N
20/9/2017,20/9/2017,SE,20: Apple Race,,,,N,,N,N
22/9/2017,22/9/2017,SE,22: Inter-House Swimming Finals,,,,N,,N,N
26/9/2017,26/9/2017,SE,26: G10 Leadership Training Camp (26-29),,,,N,,N,N
30/9/2017,30/9/2017,SE,30: PTA AGM,,,,N,,N,N
1/10/2017,1/10/2017,SE,1: National Day,,,,N,,N,N
2/10/2017,2/10/2017,SE,2: The day following National Day,,,,N,,N,N
5/10/2017,5/10/2017,PH,5: The day following the Chinese Mid-Autumn Festival,,,,N,,N,N
6/10/2017,6/10/2017,SE,6: Blood Donation,,,,N,,N,N
14/10/2017,14/10/2017,SE,14: PTA Inauguration Day,,,,N,,N,N
17/10/2017,17/10/2017,SE,17: Second House Meeting,,,,N,,N,N
18/10/2017,18/10/2017,SE,18: Inter-School Swimming Competitions (Heats),,,,N,,N,N
21/10/2017,21/10/2017,SE,21: G7 Admission Talks,,,,N,,N,N
27/10/2017,27/10/2017,SE,27: Inter-School Swimming Competition (Finals),,,,N,,N,N
28/10/2017,28/10/2017,PH,28: Chung Yeung Festival,,,,N,,N,N
6/11/2017,6/11/2017,SE,6: Inter-School Cross Country Competition,,,,N,,N,N
12/11/2017,12/11/2017,SE,12: Garden Fete,,,,N,,N,N
13/11/2017,13/11/2017,SH,13: The day following Garden Fete,,,,N,,N,N
21/11/2017,21/11/2017,SE,21: Inter-House Athletics Competitions,,,,N,,N,N
22/11/2017,22/11/2017,SE,22: Staff Development Day,,,,N,,N,N
23/11/2017,1/12/2017,SE,23: IB G11 Mid-year Exam (23/11-1/12),,,,N,,N,N
23/11/2017,5/12/2017,SE,23: IB G10 Mid-year Exam (23/11-5/12),,,,N,,N,N
2/12/2017,9/12/2017,SE,2: IB G11 CAS Trip (2-9),,,,N,,N,N
4/12/2017,19/12/2017,SE,4: G7-G11 Mid-year Exam (4-19),,,,N,,N,N
20/12/2017,20/12/2017,SE,20: Christmas Service,,,,N,,N,N
21/12/2017,3/1/2018,SH,21: Christmas and New Year Holiday (21/12-3/1),,,,N,,N,N
24/12/2017,24/12/2017,PH,24: Christmas Eve,,,,N,,N,N
25/12/2017,25/12/2017,PH,25: Christmas Day,,,,N,,N,N
26/12/2017,26/12/2017,PH,26: The first weekday after Christmas Day,,,,N,,N,N
1/1/2018,1/1/2018,PH,1: The first day of January,,,,N,,N,N
4/1/2018,4/1/2018,SH,"4: Return of marked scripts (G7-G11) (4,5&8)",,,,N,,N,N
12/1/2018,12/1/2018,SH,12: Checking of result slips (G7-11),,,,N,,N,N
13/1/2018,13/1/2018,SE,13: Mentoring Scheme (Tea Reception),,,,N,,N,N
20/1/2018,20/1/2018,SE,20: Parents' Day (Distribution of report cards G7-G11),,,,N,,N,N
27/1/2018,12/2/2018,SE,27: G12 Mock Exam (27/1-12/2),,,,N,,N,N
9/2/2018,9/2/2018,SE,9: Speech Day,,,,N,,N,N
13/2/2018,13/2/2018,SH,13: Speech Day Holiday,,,,N,,N,N
14/2/2018,24/2/2018,SH,14: Lunar New Year Holiday (14-24),,,,N,,N,N
16/2/2018,16/2/2018,PH,16: Lunar New Year's Day,,,,N,,N,N
17/2/2018,17/2/2018,PH,17: The second day of Lunar New Year,,,,N,,N,N
19/2/2018,19/2/2018,PH,19: The fourth day of Lunar New Year,,,,N,,N,N
26/2/2018,28/2/2018,SE,26: Return of marked scripts (G12) (26-28),,,,N,,N,N
26/2/2018,28/3/2018,SE,26: Music Festival (26/2-28/3),,,,N,,N,N
28/2/2018,28/2/2018,SE,28: Inter-School Athletics Competition (Day 1),,,,N,,N,N
1/3/2018,6/3/2018,SE,1: IB G12 Mock Exam (1-16),,,,N,,N,N
6/3/2018,6/3/2018,SE,6: Inter-School Athletics Competition (Day 2),,,,N,,N,N
7/3/2018,7/3/2018,SE,7: Checking of result slips (G12),,,,N,,N,N
9/3/2018,9/3/2018,SE,9: Inter-School Athletics Competition (Day 3),,,,N,,N,N
13/3/2018,13/3/2018,SE,13: Distribution of Report Cards (G12); G12 Graduation Service,,,,N,,N,N
27/3/2018,27/3/2018,SE,27: Easter Service,,,,N,,N,N
28/3/2018,7/4/2018,SH,28: Easter Holiday (28/3-7/4),,,,N,,N,N
30/3/2018,30/3/2018,PH,30: Good Friday,,,,N,,N,N
31/3/2018,31/3/2018,PH,31: The day following Good Friday,,,,N,,N,N
