initial,day,period,subj1,class1,loc1,subj2,class2,loc2
AH,1,1,HIST,G9J,G9J,,,
AH,1,2,HIST,G11J,SR9,HIST,G11M,SR9
AH,1,2,HIST,G11S,SR9,,,
AH,1,5,HIST,G9M,G9M,,,
AH,1,6,HIST,G12J,SR9,HIST,G12T,SR9
AH,2,2,HIST,G12J,SR9,HIST,G12T,SR9
AH,2,4,HIST,G9L,G9L,,,
AH,2,5,HIST,G11J,SR9,HIST,G11M,SR9
AH,2,5,HIST,G11S,SR9,,,
AH,2,6,HIST,G9G,G9G,,,
AH,4,4,HIST,G11J,SR9,HIST,G11M,SR9
AH,4,4,HIST,G11S,SR9,,,
AH,4,5,HIST,G12J,SR9,HIST,G12T,SR9
AH,5,1,HIST,G9P,G9P,,,
AH,5,4,HIST,G11J,SR9,HIST,G11M,SR9
AH,5,4,HIST,G11S,SR9,,,
AH,5,5,HIST,G9D,G9D,,,
AH,5,6,HIST,G9S,G9S,,,
AK,1,1,MACO,G10J,SR11B,MACO,G10T,SR11B
AK,1,2,MATH,G7J,SR8,MATH,G7T,SR8
AK,1,5,MATH,G8G,G8G,,,
AK,1,6,MATH,G7P,G7P,,,
AK,2,1,MACO,G10J,SR11B,MACO,G10T,SR11B
AK,2,2,MATH,G7P,G7P,,,
AK,2,3,MATH,G8G,G8G,,,
AK,2,6,MATH,G7J,SR8,MATH,G7T,SR8
AK,3,2,MATH,G7J,SR8,MATH,G7T,SR8
AK,3,5,MACO,G10J,SR11B,MACO,G10T,SR11B
AK,4,2,MATH,G7P,G7P,,,
AK,4,3,MATH,G7J,SR8,MATH,G7T,SR8
AK,4,4,MATH,G8G,G8G,,,
AK,5,1,MATH,G8G,G8G,,,
AK,5,2,MATH,G7P,G7P,,,
AK,5,6,MACO,G10J,SR11B,MACO,G10T,SR11B
BT,1,1,ECON,G12J,G12T,ECON,G12T,G12T
BT,1,3,ECON,G11J,G11T,ECON,G11T,G11T
BT,1,4,ECON-X,G12P,G12P,ECON-X,G12T,G12P
BT,1,5,ECON-X,G11D,G11D,ECON-X,G11J,G11D
BT,1,5,ECON-X,G11P,G11D,ECON-X,G11T,G11D
BT,2,1,ECON,G11J,G11T,ECON,G11T,G11T
BT,2,2,ECON-X,G11D,G11D,ECON-X,G11J,G11D
BT,2,2,ECON-X,G11P,G11D,ECON-X,G11T,G11D
BT,3,2,ECON,G11J,G11T,ECON,G11T,G11T
BT,3,3,ECON,G12J,G12T,ECON,G12T,G12T
BT,3,5,ECON-X,G12P,G12P,ECON-X,G12T,G12P
BT,4,2,ECON,G12J,G12T,ECON,G12T,G12T
BT,4,3,ECON-X,G11D,G11D,ECON-X,G11J,G11D
BT,4,3,ECON-X,G11P,G11D,ECON-X,G11T,G11D
BT,5,1,ECON-X,G12P,G12P,ECON-X,G12T,G12P
BT,5,5,ECON,G11J,G11T,ECON,G11T,G11T
BT,5,6,ECON-X,G11D,G11D,ECON-X,G11J,G11D
BT,5,6,ECON-X,G11P,G11D,ECON-X,G11T,G11D
CAL,1,1,I&D,G8A,ILAB,,,
